surveycode,varname,qraw
sch-hs,pbl_solution,pbl_solution
sch-hs,pbl_outschool,pbl_outschool
sch-hs,pbl_career,pbl_career
sch-hs,pbl_college,pbl_college
sch-hs,pbl_care,pbl_care
sch-hs,pbl_lrndeep,pbl_lrndeep
sch-hs,pbl_peer,pbl_peer
sch-hs,pbl_better,pbl_better
sch-hs,pbl_math,pbl_math
sch-hs,pbl_eng,pbl_eng
sch-hs,pbl_sci,pbl_sci
sch-hs,pbl_soc,pbl_soc
sch-hs,stem_fut,stem_fut
sch-hs,stem_choose,stem_choose
sch-hs,stem_connect,stem_connect
sch-hs,stem_use,stem_use
sch-hs,stem_pursue,stem_pursue
sch-hs,stem_undrcar,stem_undrcar
sch-hs,stem_intern,stem_intern
sch-hs,stem_prof,stem_prof
sch-hs,stem_mentor,stem_mentor
sch-hs,stem_fldtrp,stem_fldtrp
sch-hs,stem_fairs,stem_fairs
sch-hs,stemh_intern,stemh_intern
sch-hs,stemh_prof,stemh_prof
sch-hs,stemh_mentor,stemh_mentor
sch-hs,stemh_fldtrp,stemh_fldtrp
sch-hs,stemh_fairs,stemh_fairs
sch-hs,stem_grpproj,stem_grpproj
sch-hs,stem_grpsolve,stem_grpsolve
sch-hs,stem_indie,stem_indie
sch-hs,stem_app,stem_app
sch-hs,stem_issues,stem_issues
sch-hs,stem_in_port,stem_in_port
sch-hs,stem_in_sim,stem_in_sim
sch-hs,stem_in_data,stem_in_data
sch-hs,stem_in_design,stem_in_design
sch-hs,stem_in_research,stem_in_research
sch-hs,stem_in_online,stem_in_online
sch-hs,stem_in_other,stem_in_other
sch-hs,stem_out_port,stem_out_port
sch-hs,stem_out_sim,stem_out_sim
sch-hs,stem_out_data,stem_out_data
sch-hs,stem_out_design,stem_out_design
sch-hs,stem_out_research,stem_out_research
sch-hs,stem_out_online,stem_out_online
sch-hs,stem_out_other,stem_out_other
sch-hs,sv_speakadult,sv_speakadult
sch-hs,sv_speakpeer,sv_speakpeer
sch-hs,sv_usevoice,sv_usevoice
sch-hs,sv_workadult,sv_workadult
sch-hs,sv_leader,sv_leader
sch-hs,sv_participate,sv_participate
sch-hs,sv_difference,sv_difference
sch-hs,sv_speakup,sv_speakup
sch-hs,som_peersuccess,som_peersuccess
sch-hs,som_peerlearn,som_peerlearn
sch-hs,som_peercome,som_peercome
sch-hs,som_exp,som_exp
sch-hs,som_help,som_help
sch-hs,som_conc,som_conc
sch-hs,som_plan,som_plan
sch-hs,som_org,som_org
sch-hs,som_remember,som_remember
sch-hs,som_motivate,som_motivate
sch-hs,som_tchblv,som_tchblv
sch-hs,som_teachhelp,som_teachhelp
sch-hs,som_helpskills,som_helpskills
sch-hs,som_peerhelp,som_peerhelp
sch-hs,som_outhelp,som_outhelp
sch-hs,som_newfixintel,som_newfixintel
sch-hs,som_good,som_good
sch-hs,grit_distract,grit_distract
sch-hs,grit_bounce,grit_bounce
sch-hs,grit_loseint,grit_loseint
sch-hs,grit_work,grit_work
sch-hs,grit_change,grit_change
sch-hs,grit_months,grit_months
sch-hs,grit_finish,grit_finish
sch-hs,grit_diligent,grit_diligent
sch-hs,gh_checkup,gh_checkup
sch-hs,gh_dentist,gh_dentist
sch-hs,gh_absent,gh_absent
sch-hs,safe_school,safe_school
sch-hs,safe_inclass,safe_inclass
sch-hs,safe_outclass,safe_outclass
sch-hs,safe_outbldg,safe_outbldg
sch-hs,safe_tofrom,safe_tofrom
sch-hs,safe_neighbor,safe_neighbor
sch-hs,safe_home,safe_home
sch-hs,safe_treatbad,safe_treatbad
sch-hs,safe_id,safe_id
sch-hs,safe_phys,safe_phys
sch-hs,safe_defend,safe_defend
sch-hs,safe_rules,safe_rules
sch-hs,safe_adults,safe_adults
sch-hs,safe_help,safe_help
sch-hs,ne_dairy,ne_dairy
sch-hs,ne_soda,ne_soda
sch-hs,ne_junkfd,ne_junkfd
